iter	RMSE
0	0.8368235451
1	0.8046677513
2	0.7768632829
3	0.7486263761
4	0.7214533674
5	0.6988537896
6	0.676011598
7	0.6545978452
8	0.6348741823
9	0.6160475163
10	0.5971585647
11	0.5798442772
12	0.5640920274
13	0.5490992359
14	0.5351121083
15	0.5211216342
16	0.509222383
17	0.4973893489
18	0.4855767289
19	0.4748614568
20	0.4656515489
21	0.4556299147
22	0.4466472948
23	0.4378062426
24	0.4300411047
25	0.4221175286
26	0.4157427475
27	0.4090012611
28	0.4023077684
29	0.3967275674
30	0.3905825311
31	0.3847343202
32	0.3796953613
33	0.3749220145
34	0.370091178
35	0.3656558898
36	0.3616387807
37	0.3577534496
38	0.3540914504
39	0.3497061688
40	0.3463725005
41	0.3430000383
42	0.3399691445
43	0.3367858733
44	0.3341036946
45	0.331755554
46	0.3293233439
47	0.3270986396
48	0.3244749047
49	0.3223742146
50	0.3203195745
51	0.3184175372
52	0.3163189604
53	0.3146282319
54	0.3128146304
55	0.3109272035
56	0.3090286838
57	0.3076712034
58	0.3061468423
59	0.3048217593
60	0.303528869
61	0.3022205541
62	0.3009400603
63	0.2997032744
64	0.2980279961
65	0.2970951545
66	0.2961735517
67	0.2952154345
68	0.2937455884
69	0.2923275896
70	0.2906627696
71	0.28984781
72	0.2886181618
73	0.2873499773
74	0.286632203
75	0.2859441509
76	0.2850990345
77	0.284347611
78	0.2837928984
79	0.282877641
80	0.2827508438
81	0.2822771662
82	0.2813198937
83	0.2806037519
84	0.2801043013
85	0.2792884254
86	0.2787139214
87	0.2781229768
88	0.2772352908
89	0.2767329445
90	0.2761092324
91	0.2755848753
92	0.2750732356
93	0.2745533113
94	0.2739808895
95	0.2731370847
96	0.2726046711
97	0.2720171712
98	0.2715520341
99	0.2713302115
100	0.2705629695
101	0.270050837
102	0.2696170756
103	0.2691456589
104	0.2687678497
105	0.2685314079
106	0.2679888697
107	0.2675628007
108	0.2670710679
109	0.2666543479
110	0.2664984478
111	0.2661245495
112	0.2657029728
113	0.2652321602
114	0.264754672
115	0.264426227
116	0.2640408837
117	0.2636665679
118	0.2635154005
119	0.2630155419
120	0.262230817
121	0.2617782469
122	0.2616752704
123	0.261462341
124	0.2610674056
125	0.260723583
126	0.2598850972
127	0.2590918886
128	0.2587237193
129	0.2584060363
130	0.2580706784
131	0.257700642
132	0.2573962688
133	0.2572171919
134	0.2570366793
135	0.256632874
136	0.2562561381
137	0.2554102606
138	0.2551323202
139	0.2550506621
140	0.2547878918
141	0.2543257692
142	0.2540596831
143	0.2538905499
144	0.2536545273
145	0.2534593629
146	0.2533125454
147	0.253178749
148	0.253058
149	0.2528322978
150	0.2523132693
151	0.252055314
152	0.2517475193
153	0.2509235519
154	0.2502418749
155	0.2501426595
156	0.2498161888
157	0.2495544566
158	0.249278058
159	0.2491475294
160	0.2488765419
161	0.2485870834
162	0.2481253048
163	0.247765185
164	0.2474564656
165	0.2473565374
166	0.2471126079
167	0.2468541056
168	0.246605962
169	0.2463354024
170	0.2461948486
171	0.2458807522
172	0.2457558808
173	0.2456461346
174	0.2455384903
175	0.2452904433
176	0.2451350292
177	0.2450002329
178	0.2448066215
179	0.2445187806
180	0.2441292414
181	0.2440058735
182	0.243719498
183	0.2436004922
184	0.2433185017
185	0.2430780969
186	0.2429350631
187	0.2427142312
188	0.2424855056
189	0.2422493799
190	0.2421087338
191	0.2419853322
192	0.2417438806
193	0.2415886367
194	0.2413574596
195	0.2410461622
196	0.2403306229
197	0.2401662344
198	0.2400139749
199	0.2398796479
200	0.2396572624
201	0.2394593394
202	0.2393366224
203	0.2392471918
204	0.2389854861
205	0.2388667698
206	0.2386129771
207	0.2380955829
208	0.2378625494
209	0.2375649782
210	0.2374516541
211	0.2372563713
212	0.2370524815
213	0.2369360942
214	0.2367823993
215	0.2364586359
216	0.236307504
217	0.2361911211
218	0.2360666286
219	0.2358551931
220	0.2356576718
221	0.2354684046
222	0.2353586312
223	0.2351054717
224	0.2349286337
225	0.2347552205
226	0.2345645404
227	0.2344554304
228	0.2343476002
229	0.2342426077
230	0.2340530663
231	0.2339074409
232	0.2337843135
233	0.233610555
234	0.2334988255
235	0.2333944425
236	0.2332228382
237	0.2331232046
238	0.2330241298
239	0.2326012973
240	0.2324574832
241	0.2319159807
242	0.2317778146
243	0.2316824191
244	0.2315004769
245	0.2309907396
246	0.2308288092
247	0.2307485471
248	0.2306397107
249	0.2305484942
250	0.2304716899
251	0.230319277
252	0.2302438699
253	0.2301622604
254	0.2296557034
255	0.2295074338
256	0.2294267352
257	0.2290633998
258	0.2288916174
259	0.2286957795
260	0.2286117271
261	0.2284549633
262	0.2283766782
263	0.2282340546
264	0.2280919734
265	0.2279352523
266	0.2278476957
267	0.2272443179
268	0.2271185821
269	0.227020802
270	0.2268834648
271	0.2266673236
272	0.2265283118
273	0.2263682364
274	0.225791616
275	0.2256954076
276	0.2255584814
277	0.225464389
278	0.2253295943
279	0.2252386042
280	0.2251284885
281	0.2250398842
282	0.2248621639
283	0.2247183999
284	0.2242388289
285	0.2241631857
286	0.2240915132
287	0.223943242
288	0.2238622496
289	0.2237308215
290	0.223217704
291	0.2230793762
292	0.2229631169
293	0.222881206
294	0.2223724484
295	0.2222800166
296	0.2221334322
297	0.2220080928
298	0.2219538855
299	0.2218455199
300	0.2217498967
301	0.2216849787
302	0.2214852741
303	0.2214327018
304	0.2212673183
305	0.2211556102
306	0.2210347694
307	0.2209679737
308	0.2208813025
309	0.2208319358
310	0.2207840926
311	0.2207018492
312	0.2206347035
313	0.2204905712
314	0.220419101
315	0.2203328957
316	0.2202297381
317	0.2201635879
318	0.2200827506
319	0.2200074788
320	0.2199628963
321	0.219864817
322	0.219819729
323	0.219700278
324	0.2196581048
325	0.2193534445
326	0.2192061079
327	0.218935043
328	0.2187061894
329	0.2185925143
330	0.2184784421
331	0.2184214851
332	0.2183446789
333	0.2179774993
334	0.2174861965
335	0.2172557715
336	0.2170352742
337	0.216604828
338	0.216501952
339	0.2160318375
340	0.2159590941
341	0.2158498841
342	0.2155560328
343	0.2155084363
344	0.2153582157
345	0.2152269032
346	0.2151819787
347	0.2151053633
348	0.2150597948
349	0.215016472
350	0.2149725996
351	0.2149049262
352	0.2148328096
353	0.2147915267
354	0.2147260818
355	0.2146853144
356	0.2146404968
357	0.2145988798
358	0.2145324876
359	0.2144412807
360	0.2143759923
361	0.2142669181
362	0.21418699
363	0.2141164539
364	0.2140774529
365	0.213868193
366	0.2138005195
367	0.2137351159
368	0.2136566739
369	0.2134901504
370	0.2134259965
371	0.2132977645
372	0.2132558397
373	0.2130197901
374	0.2129489233
375	0.2129134879
376	0.2128741544
377	0.2128048272
378	0.2127157199
379	0.2126429169
380	0.2124774706
381	0.2123283659
382	0.2121858831
383	0.2118972532
384	0.2118614554
385	0.2117165098
386	0.2116817417
387	0.2115664578
388	0.2112438187
389	0.21113533
390	0.2110772019
391	0.2110417652
392	0.2109860449
393	0.2109311606
394	0.210858202
395	0.2108241646
396	0.2107184922
397	0.2106180375
398	0.2105538708
399	0.2102441765
400	0.2101912487
401	0.2098036729
402	0.2097270507
403	0.2095577722
404	0.2095266617
405	0.2093066219
406	0.2092373845
407	0.209205901
408	0.2091120461
409	0.2090540279
410	0.2089397815
411	0.2088286616
412	0.2087340659
413	0.2086180338
414	0.2085401312
415	0.2084424244
416	0.2083654586
417	0.2082935002
418	0.2081311314
419	0.2078372692
420	0.2076929627
421	0.2076317306
422	0.2075200396
423	0.2074432182
424	0.2073933849
425	0.2072587776
426	0.2071750512
427	0.2070921595
428	0.2070022065
429	0.2069231683
430	0.2066790086
431	0.2066058404
432	0.2065309137
433	0.206445716
434	0.2063867813
435	0.2063090024
436	0.2062356771
437	0.2061678302
438	0.2060821629
439	0.2059116413
440	0.2055314526
441	0.2054779596
442	0.2053571599
443	0.2052889822
444	0.2052079807
445	0.2051451058
446	0.2048695805
447	0.2047615217
448	0.2046964267
449	0.2045960714
450	0.2044858823
451	0.2044136365
452	0.2043369026
453	0.2042754024
454	0.2041879734
455	0.2041487117
456	0.2039539814
457	0.2039190078
458	0.2038459331
459	0.203795126
460	0.2037563718
461	0.2036996418
462	0.2036365085
463	0.2036036964
464	0.2035488164
465	0.2035145231
466	0.2034604144
467	0.2034105785
468	0.2033575261
469	0.2032940291
470	0.2032405976
471	0.2032010531
472	0.2031398312
473	0.2030310081
474	0.2029826786
475	0.2029330183
476	0.202890521
477	0.2028605024
478	0.2027909348
479	0.2027603101
480	0.2027174402
481	0.2026509932
482	0.2024991759
483	0.2022069196
484	0.2020281711
485	0.2019830716
486	0.201931722
487	0.2019026237
488	0.2018725644
489	0.2018435652
490	0.2018012027
491	0.201746899
492	0.2015159454
493	0.201265463
494	0.2011620242
495	0.2008861011
496	0.2006379804
497	0.2005626049
498	0.2005340941
499	0.2004096532
500	0.2002775623
501	0.2000856975
502	0.199815956
503	0.1997206009
504	0.1996081619
505	0.1994999389
506	0.1993036985
507	0.1992272976
